id,name
HI,Hawaii
AK,Alaska
FL,Florida
NH,New Hampshire
MI,Michigan
VT,Vermont
ME,Maine
RI,Rhode Island
NY,New York
PA,Pennsylvania
NJ,New Jersey
DE,Delaware
MD,Maryland
VA,Virginia
WV,West Virginia
OH,Ohio
IN,Indiana
IL,Illinois
CT,Connecticut
WI,Wisconsin
NC,North Carolina
DC,Washington DC
MA,Massachusets
TN,Tennessee
AR,Arkansas
MO,Missouri
GA,Georgia
SC,South Carolina
KY,Kentucky
AL,Alabama
LS,Louisiana
MS,Mississippi
IA,Iowa
MN,Minnesota
OK,Oklahoma
TX,Texas
NM,New Mexico
KS,Kansas
NE,Nebraska
SD,South Dakota
ND,North Dakota
WY,Wyoming
MT,Montana
CO,Colarado
ID,Idaho
UT,Utah
AZ,Arizona
NV,Nevada
OR,Oregon
WA,Washington
CA,California
