year,avgtemp,avgtempuncert
1750,8.719363636,2.637818182
1751,7.976142857,2.781142857
1752,5.779833333,2.977
1753,8.388083333,3.176
1754,8.469333333,3.49425
1755,8.355583333,3.850333333
1756,8.849583333,3.262333333
1757,9.022,4.026
1758,6.743583333,3.362916667
1759,7.985083333,3.678916667
1760,7.185166667,3.088916667
1761,8.7725,3.144833333
1762,8.6065,3.52425
1763,7.49675,3.151583333
1764,8.400333333,2.77525
1765,8.251916667,2.42775
1766,8.405666667,2.835833333
1767,8.2215,2.962666667
1768,6.781333333,2.266
1769,7.694583333,2.410083333
1770,7.691916667,2.780666667
1771,7.853166667,2.604583333
1772,8.1935,2.463833333
1773,8.2215,2.36075
1774,8.772166667,3.415166667
1775,9.183083333,2.320583333
1776,8.304,2.864166667
1777,8.25625,2.442833333
1778,8.54225,2.8725
1779,8.98325,2.505833333
1780,9.432916667,2.584833333
1781,8.102583333,2.503833333
1782,7.90125,2.550583333
1783,7.680833333,2.494416667
1784,7.862,2.255666667
1785,7.363,2.2395
1786,8.258166667,2.525416667
1787,8.031833333,2.36175
1788,8.447166667,2.557833333
1789,8.334166667,1.868666667
1790,7.982333333,1.771666667
1791,8.23425,1.78375
1792,8.089,1.700416667
1793,8.229166667,2.274416667
1794,8.526,1.979
1795,8.350333333,2.043333333
1796,8.271,1.920666667
1797,8.510583333,2.045666667
1798,8.67025,1.903333333
1799,8.50575,1.738416667
1800,8.48425,1.718666667
1801,8.589666667,1.581666667
1802,8.578166667,1.849
1803,8.503,1.633166667
1804,8.844833333,1.841833333
1805,8.56275,1.688916667
1806,8.434083333,1.570083333
1807,8.281416667,1.59225
1808,7.626833333,1.996833333
1809,7.076416667,2.135416667
1810,6.922666667,2.311
1811,6.8595,2.09575
1812,7.04625,2.135583333
1813,7.739916667,1.708833333
1814,7.59175,2.1685
1815,7.239333333,1.9665
1816,6.9375,2.192916667
1817,6.975666667,1.708333333
1818,7.828916667,1.829083333
1819,7.369166667,1.581916667
1820,7.61625,1.61875
1821,8.090083333,1.375833333
1822,8.188333333,1.37525
1823,7.718666667,1.36225
1824,8.547166667,1.447833333
1825,8.389333333,1.507833333
1826,8.356583333,1.559583333
1827,8.80875,1.443583333
1828,8.165333333,1.648416667
1829,7.941833333,1.31975
1830,8.51675,1.431416667
1831,7.639166667,1.5315
1832,7.450166667,1.540416667
1833,8.013,1.2335
1834,8.14675,1.15225
1835,7.3925,1.275333333
1836,7.695833333,1.169416667
1837,7.375666667,1.290916667
1838,7.514916667,1.162333333
1839,7.63225,1.179416667
1840,7.79625,0.991166667
1841,7.688166667,0.952
1842,8.02275,0.8975
1843,8.173666667,0.749833333
1844,7.646333333,0.926
1845,7.851166667,0.8815
1846,8.55275,1.05175
1847,8.086,0.900666667
1848,7.9795,0.871333333
1849,7.984416667,0.913583333
1850,7.900666667,0.876416667
1851,8.178583333,0.881916667
1852,8.100166667,0.91825
1853,8.041833333,0.835
1854,8.2105,0.825666667
1855,8.11075,0.887166667
1856,7.995916667,0.76075
1857,7.758166667,0.751083333
1858,8.10025,0.69975
1859,8.252,0.674666667
1860,7.960833333,0.626
1861,7.8465,0.653416667
1862,7.558583333,0.688916667
1863,8.111833333,0.748
1864,7.983583333,0.676416667
1865,8.177833333,0.662166667
1866,8.292166667,0.606
1867,8.436333333,0.634833333
1868,8.247916667,0.546333333
1869,8.432083333,0.595666667
1870,8.201333333,0.550166667
1871,8.115083333,0.57025
1872,8.193833333,0.589083333
1873,8.351083333,0.5505
1874,8.4335,0.517916667
1875,7.859583333,0.4515
1876,8.080083333,0.4335
1877,8.539583333,0.455916667
1878,8.82975,0.424916667
1879,8.165833333,0.463416667
1880,8.11875,0.414916667
1881,8.270916667,0.419333333
1882,8.128916667,0.379916667
1883,7.976916667,0.370666667
1884,7.773666667,0.39625
1885,7.919666667,0.425
1886,7.9545,0.386
1887,7.914916667,0.392083333
1888,8.0905,0.382416667
1889,8.319,0.369833333
1890,7.971666667,0.343
1891,8.019333333,0.335333333
1892,8.065833333,0.338833333
1893,8.05675,0.34525
1894,8.161,0.31725
1895,8.147,0.29925
1896,8.214916667,0.308833333
1897,8.293333333,0.313833333
1898,8.178,0.325666667
1899,8.396333333,0.32475
1900,8.501583333,0.31475
1901,8.541916667,0.30625
1902,8.304416667,0.29275
1903,8.220166667,0.29
1904,8.090916667,0.286416667
1905,8.225166667,0.27875
1906,8.379083333,0.274916667
1907,7.947166667,0.257166667
1908,8.186083333,0.27475
1909,8.17825,0.26275
1910,8.223,0.260083333
1911,8.177,0.247833333
1912,8.165416667,0.258416667
1913,8.29775,0.26225
1914,8.5905,0.251916667
1915,8.593166667,0.246166667
1916,8.22525,0.260416667
1917,8.023333333,0.260666667
1918,8.130833333,0.26825
1919,8.38225,0.26675
1920,8.35875,0.262666667
1921,8.571,0.256833333
1922,8.408,0.258583333
1923,8.422166667,0.253083333
1924,8.506833333,0.256833333
1925,8.534416667,0.24075
1926,8.728833333,0.242666667
1927,8.522083333,0.248916667
1928,8.632166667,0.248583333
1929,8.242416667,0.25175
1930,8.633583333,0.239666667
1931,8.71925,0.23775
1932,8.70525,0.248916667
1933,8.33825,0.242666667
1934,8.628333333,0.240083333
1935,8.51575,0.235916667
1936,8.554,0.243083333
1937,8.698333333,0.240083333
1938,8.863666667,0.2405
1939,8.760333333,0.237333333
1940,8.764666667,0.231083333
1941,8.768666667,0.227833333
1942,8.728416667,0.2295
1943,8.755083333,0.226583333
1944,8.845,0.225166667
1945,8.584833333,0.220333333
1946,8.676916667,0.222416667
1947,8.797083333,0.217083333
1948,8.74675,0.209583333
1949,8.58675,0.20825
1950,8.36525,0.186333333
1951,8.625666667,0.184166667
1952,8.63825,0.20875
1953,8.87375,0.212083333
1954,8.560666667,0.187166667
1955,8.62625,0.153583333
1956,8.279583333,0.120833333
1957,8.7325,0.158
1958,8.77375,0.104333333
1959,8.732666667,0.107166667
1960,8.58375,0.0935
1961,8.797666667,0.097
1962,8.745916667,0.132916667
1963,8.856,0.092333333
1964,8.409666667,0.0925
1965,8.527416667,0.108833333
1966,8.599333333,0.09225
1967,8.700083333,0.083666667
1968,8.516333333,0.111666667
1969,8.595083333,0.085166667
1970,8.700916667,0.075583333
1971,8.59925,0.097916667
1972,8.499583333,0.095333333
1973,8.94825,0.10075
1974,8.4675,0.1045
1975,8.744833333,0.097083333
1976,8.34725,0.100583333
1977,8.85025,0.084666667
1978,8.69275,0.103833333
1979,8.733416667,0.086416667
1980,8.980333333,0.106666667
1981,9.165833333,0.08725
1982,8.639166667,0.082666667
1983,9.028166667,0.094
1984,8.691833333,0.102583333
1985,8.658,0.09325
1986,8.833583333,0.085
1987,8.994416667,0.085166667
1988,9.201583333,0.080083333
1989,8.922,0.088
1990,9.234166667,0.086333333
1991,9.179416667,0.062083333
1992,8.836583333,0.083333333
1993,8.866583333,0.081333333
1994,9.03875,0.070916667
1995,9.347083333,0.076416667
1996,9.038916667,0.08475
1997,9.202583333,0.088583333
1998,9.522666667,0.073916667
1999,9.285083333,0.07925
2000,9.201166667,0.0835
2001,9.414583333,0.087416667
2002,9.570416667,0.072416667
2003,9.525583333,0.090666667
2004,9.324583333,0.083416667
2005,9.700916667,0.075166667
2006,9.5325,0.09
2007,9.732166667,0.0895
2008,9.43175,0.078916667
2009,9.50525,0.085916667
2010,9.703083333,0.083416667
2011,9.516,0.082
2012,9.507333333,0.083416667
2013,9.6065,0.097666667
2014,9.570666667,0.090166667
2015,9.831,0.092166667
